at,content,score
2015-08-04 12:03:31,"Jetpack Joyride is an amazing game, keep it up Halfbrick Studios, great work! The game is so good I use Barry  Steakfries as my minecraft skin.",5
2014-09-01 06:15:49,Vip,5
2014-12-24 23:13:02,Daniel,3
2017-04-29 21:26:21,I like the game,5
2013-10-27 00:05:03,AWSOME!!!!!!,5
2013-12-12 21:56:18,They got ride of some of the good jetpacks.,1
2017-06-14 20:55:40,Great gameplay,5
2014-01-25 04:48:57,It is a cool game,5
2015-12-05 12:11:56,Just a great game,5
2012-12-21 22:39:11,Great game!! Still laggy or my phone. But overall is great!,5
2014-10-14 10:54:08,Hi rate this plz,5
2015-05-24 15:13:40,I had unlock many golden vehicle and jetpack...my phone hang then i uninstall....after i install back....i need to start from beginning...please help me to get my previous game,5
2012-10-06 23:08:18,"It wont let me download,:(",5
2018-01-27 12:03:47,It's one of the best apps on the play store.,5
2014-02-03 03:29:23,IF,5
2015-07-30 18:37:44,"I love this game but when I buy gadgets,clothes and jetpacks  it wouldn't let me equip them please fix.",4
2013-02-04 03:47:18,Very Good,5
2014-03-03 18:36:42,,4
2015-10-26 08:55:06,plase iwant to games,4
2016-09-01 20:02:14,It's okay,5
2017-07-15 16:21:51,Love itttt,5
2013-06-29 18:30:23,I no but m,5
2015-11-24 09:30:20,Fun,4
2019-06-26 07:57:42,it is a good game,5
2015-05-30 19:52:09,This game is awesome the people that says its bad don't know what good means,5
2018-02-10 07:41:55,It is fun to play,5
2014-09-20 01:01:06,Sweet game,5
2018-09-03 15:00:45,I absolutely love every Half brick game and this was my first and favorite one,5
2018-03-07 06:04:42,i think its kinda sad when those little sintists die but its  a really fun  game,3
2021-12-26 17:37:06,I love the game it's really good although sometimes it is annoying because zappers spawn right in front of you sometimes.,4
2013-02-19 19:44:06,I just don‘t know better game,5
2014-02-21 21:07:40,,5
2016-09-16 03:10:07,Super radical!,5
2018-05-29 23:20:50,I love this game,5
2016-10-21 22:34:31,Awsome!,5
2020-04-27 09:31:45,While I do understand it's necessary to do in app advertisements to keep the game free and I do not mind but I'm spending MORE time looking at ads than I am playing the game. Consider lessening the ads so people can actually spend time playing the game,2
2018-03-02 18:47:43,Good but not the best I have played,4
2016-01-22 09:20:21,Amazing,5
2016-09-10 20:23:14,I LOVE BACK TO THE FUTURE MOD,5
2018-02-14 01:00:51,Love it,5
2016-05-20 23:34:42,Amazing game,5
2017-01-06 08:16:11,I hate hate hate hate hate hate hate hate hate hate hate hate it hurts my eyes somuch,1
2017-01-30 07:28:25,I think it was the biggest game,5
2017-07-07 05:56:09,Best game ever made,5
2013-06-07 09:13:50,Awpenis,5
2016-05-28 11:32:36,so.awsome.and.funny,5
2016-04-11 00:13:30,It is an extremely fun game but all you do is add rides it would be more fun if instead of rides how about adding jetpacks? Just a thought.,4
2015-07-24 14:34:28,Fica,5
2017-03-30 18:41:13,It is very amazing I real like it  Time killer,5
2013-07-07 10:03:46,Im playing on the note 2 and thats a huge screen and the graphics are stratched and blotchy and ugly and doesnt fit the screen the whole way and the screen rotation doesnt work either!,3
2015-10-12 21:12:37,th.. bst. gam..,5
2020-09-19 08:53:54,I love this game,5
2017-12-18 21:16:46,Its a very good game.  I always  like to play this game.,5
2019-02-18 04:51:11,op,5
2019-06-01 11:46:15,this one of thee best games out there,5
2016-12-27 03:13:05,I have no words to say it is so awesome I love to play it,5
2015-12-19 23:36:40,Loads of new cool stuff after updating the app,5
2016-09-06 18:50:46,I play this day,5
2016-01-18 03:09:22,Addictive,5
2012-11-01 18:45:19,"I waited a long time to get the game on Android for a long time, but the game is amazing. The only slight problem is that it does not sound",5
2015-12-14 18:29:45,Do not put bad comments about this game,5
2017-03-09 18:26:42,Awesome game,5
2014-12-30 02:02:11,I've been waiting for this game! LOVE IT!!!,5
2016-03-08 04:05:02,Love it,5
2019-02-22 07:34:11,Horrible things Just Horrible !!!!!!!!!!!!!!+!!!!!!!!!!! = 😭😵😡🤬🤬🤬🤬🤬🤬🤬🤬😊😒,5
2015-12-21 20:08:16,This game is great. I love playing it although sometimes it freezes. But I do recommend it.,4
2014-04-23 16:21:31,,5
2015-03-10 11:59:45,"I really love this game, this is the third 3 time i have downloaded! In 3 different phones though",1
2018-02-09 23:15:18,Awesome,5
2012-11-16 02:07:18,Addiction ... cant play nything... jus wanaa play it..c,5
2015-05-21 06:53:06,Halfbrick i know u dont have time to look at this but if u r i had this game on my old phone and i had 10000000 coins (had the game for a year) and i had a small screen i hope that know it will be even better now i have a bigger one &gt;fistbump&lt; thanks Halfbrick.,5
2014-08-10 23:44:01,I love this game and it never seems to get old. It's addictive in fact!,5
2015-11-25 06:03:52,Me and my brother plays it its fun,5
2015-12-13 09:25:54,Is onfier,5
2017-05-17 07:59:14,Hate it,1
2021-11-09 02:03:27,This is nonsense I updated the app to Halloween and nothing happened I wish I could rate 0 star this is rubbish!!!,1
2015-10-16 18:11:14,Really good app,5
2014-07-18 08:42:31,Its wsome,3
2016-05-22 10:10:52,Fun and cool,5
2014-12-31 01:54:43,They should add more missions to it when you're done with all of them,4
2023-03-12 16:39:38,"I LIKE THIS GAME, BECAUSE IT WAS MY CHILD HOOD GAME.",3
2018-03-14 17:01:47,I good game like it nice na feedback please,5
2021-03-24 05:39:43,When will the sequel be launched in the UK?,5
2015-08-11 18:46:03,I like the S.A.M,4
2024-06-07 19:19:11,Nostalgic,5
2015-05-25 16:51:53,Surepb,5
2016-10-23 05:41:24,I really like the new update but when you collect all the pumpkins to unlock something why do you have to restart it takes forever to get back up and I know It would be easier but it sucks you have to,3
2017-07-24 23:00:33,This is the good game but something is not good,3
2019-11-26 23:47:20,Cool,4
2017-12-30 13:39:38,I cv am proud of you game,5
2021-01-20 14:33:11,Very bad game it takes years to open i have been waiting for 20 min and the game is not opening...please fix this this problem then i will givr you 5 stars,1
2020-10-15 01:37:16,The great game,5
2017-11-19 06:56:59,Loved it,5
2018-10-05 21:42:49,It is so fun to play,5
2015-11-23 08:11:26,I think I was playing this 2 years ago,5
2019-03-02 16:21:45,LOVE OTTTTTTT,5
2017-11-30 03:27:32,Fun but gets boring after a while,4
2022-03-04 07:38:24,Good game used to play it a tonne and had everything problem coin collection feels much slower and game is now wayy more p2w,5
2013-12-25 19:57:47,I've been playing JJ for over 2 years now. Tons of fun and replayability. Graphics are awesome.,5
2012-10-07 23:21:58,Nice game,5
2015-05-28 10:30:38,It's the minute details which makes it a awesome game,5
2012-10-19 00:10:12,I am facing some problems here. The game doesnt proceed beyond loading.,2
2017-01-10 03:57:00,The best game every,5
2019-10-15 17:55:06,Wow,5
2018-04-16 17:00:47,Its the best game ever thats why i hacked it,5
2013-12-20 20:59:55,Wow! I have nothing to say what an interesting game. Keep up the good work!!!!,5
2017-01-25 16:52:06,Most Amazing game i have ever played,5
2015-07-21 04:37:31,It's cool,5
2015-03-03 00:19:52,best game i have played,4
2016-01-24 10:13:09,Its the Greatest Game Ever!!!!,5
2017-06-04 13:08:56,Awesome game,5
2014-05-06 23:24:52,Nice gm not very hard easy levels,4
2014-07-22 19:47:44,U stupid if u don't like this game this go out to u haters,5
2016-08-15 23:12:11,Nice,2
2014-04-21 11:23:01,Love this app,5
2017-01-28 14:20:37,شكرا حلوة اللعبة,3
2014-12-07 20:40:17,Sabhi game se mst h ye game I like it,4
2013-12-02 08:02:10,When is the strong arm machine coming to google play,5
2016-06-09 02:01:02,This game is addiction all together I love it,5
2018-03-22 16:00:34,I love this game,5
2013-12-14 07:25:49,I recommend it to any gamer who likes action,5
2017-11-14 12:59:40,Good,5
2019-06-01 00:21:50,i love this game i played it sences i was 8,5
2016-06-14 23:51:17,I like it good time killer,5
2016-11-07 09:36:10,Worst gaming experience,1
2017-08-11 06:46:48,It's very good,5
2018-05-13 05:53:54,Good,5
2018-02-18 00:00:46,Challenging.....!!😁😁,4
2016-01-10 22:15:39,It is really fantastic game adventure and nice controls,5
2017-03-14 00:21:45,Good,5
2014-09-14 22:43:58,It is awesome because I am 10,5
2015-08-19 14:14:37,Great game to play when your waiting for anything,4
2013-07-27 10:42:59,The game was excellent,5
2017-04-18 04:18:59,It is awesome,5
2014-02-05 06:16:06,I really like this game so cool and I like how u can get into things  very cool,5
2017-02-18 00:24:11,Love it,5
2016-12-09 04:30:16,Awesomeness,5
2022-11-19 07:30:51,"Liars! ""Remove ads"" doesn't work! This game has a great soundtrack, responsive controls, and polished animations... but I cannot forgive a dishonest shop. Paying to remove ads only removes the bare minimum of pop-ups, the game will still nag you to watch more ads on Every. Single. Screen. Don't give them your money until this is fixed.",1
2017-08-22 01:37:27,GOOD,5
2018-05-18 21:31:24,Nice Game,5
2012-11-27 09:59:26,i play almost games of android but this game is best in all games of android market.. ;-),5
2016-05-21 12:24:13,Yeah mun,5
2015-02-19 10:07:30,The game sucks if you have a tablet it won't let you download it,1
2020-07-09 18:47:27,F Gaja maharakshak,5
2017-04-28 02:09:54,Improove controls,5
2016-06-20 17:08:14,Great time waster,5
2017-09-16 17:55:49,wow,5
2021-03-13 14:01:23,I play this game when i was 5yo but now i play this game there no change,5
2014-04-02 06:35:29,Cool,5
2017-12-25 04:53:04,Lol it is a awesome game everyone should play it,5
2018-12-02 16:04:58,Good,5
2016-12-08 22:48:47,Awesome,4
2015-12-13 20:32:02,I get on for one minute and it stops,1
2013-12-07 05:36:03,"I love this game. From the addicting gameplay to the witty humor in the flavor text of the various items, everything is amazing.",5
2014-10-05 23:35:34,But it's kind of long to install but it seems like an awesome game has a lot of great stuff on it but my problem is it takes too long to install but it's a really really really really very very very really really really really really really really really really really really really really really really really really really really really real great games I hope you have fun and give wish me good luck,5
2017-09-01 09:18:16,I love it. I waste all my time on this!,5
2012-10-27 16:59:17,Just f.....ing me to play,5
2020-04-07 23:31:41,Brings back so many memories I love it. Over 6 years and it still is addictive to play,5
2013-04-01 03:16:49,I love this game,5
2014-06-03 00:17:00,So slow!!!!!!!,2
2014-11-28 11:08:50,Jet,5
2016-07-12 03:55:42,There's many costume and stash with equipment we never seen.It will be more fun if you update it.,5
2019-10-28 21:37:15,I love,5
2014-03-12 06:49:00,"Addictive, nice vehicles",5
2024-09-12 11:34:11,Good gameplay,5
2013-12-17 08:40:53,I can do new daily challenges and have new costumes HOORAY,4
2014-01-20 20:57:25,i lke dIs fme,4
2020-08-28 11:38:12,FL apartment,5
2013-08-18 02:51:52,R DJ k hey Andy in,5
2013-03-20 21:01:07,Superb game,5
2016-01-23 04:52:02,Its.............awesome,5
2020-10-08 19:05:58,I love it first time playing on mobile I ussually play on PC,5
2013-01-26 04:36:35,It a good easy game real fun to play. I would have gave it five stars but the sound on the game stop playing and I can't get it back please fix thank u,4
2014-04-22 17:22:07,Jetpack barry,5
2017-06-21 17:17:31,Cool,5
2012-10-07 06:36:01,tha bomb,5
2017-05-31 16:37:58,Eh better than nothing,5
2021-03-11 03:02:44,Game is aweosme But we need new event I will be glad if you make attack on titan event 😊,5
2016-01-02 20:31:26,That's all I have to say,5
2016-11-27 19:10:14,Should be great,3
2015-10-12 23:36:19,اللعبة  روعة روعة,2
2013-08-25 23:31:20,Jjjwjgwtjjjjjjjjjjjtjw,5
2014-01-20 00:29:57,Love this game. Can play it all day,5
2013-09-22 14:02:55,Yo yo honey singh,5
2012-10-26 06:52:29,"Doesnt save progress all the time. Super fun game, but redoing all of your progress is annoying. Uninstalled.",4
2015-08-11 08:53:43,Great time waster and game goals,5
2015-10-15 16:58:45,Joyride,5
2020-03-14 22:24:22,This game was osm,5
2016-09-10 04:08:10,I hacked it to get free coins use amazon underground lol,5
2013-03-17 06:33:05,This is the best game I have ever played so many things to do  It is G-R-E-A-T,5
2016-11-13 22:50:55,Adding more bew level would make the game more interesting and fun to play...also could u guys add something more to the game other thn jus new jetpacks ? Smthing like sam...or a boss after a certain level which will appear with a mech like sam(while the player is on sam) or new mechs ideas(relating lil stomper and mechs like tht....thfs all fr this...hope it brought a few ideas fr u. Thts all 😊,3
2013-01-15 02:11:48,We need good updates!!! Pls send updates,5
2016-01-12 20:49:47,Best best best,5
2019-06-01 09:35:59,حلؤ,2
2014-07-06 21:33:33,I lvthe graphics,5
2020-03-13 22:57:19,Very addictive,5
2014-03-31 22:38:56,Brilliant,5
2013-09-08 10:12:55,"Used to play on iPhone and loved it, but now I have the new Galaxy 4 and the game is glitchy. It constantly stutters - speeding up and slowing down during  gameplay. It's not a RAM problem, either, because it glitches even when I purposely close all the latent apps on my phone. I'd give it 5 stars if it wasn't so annoying that I no longer want to play.",2
2014-04-14 19:22:53,Sometimes does not detect touch on nexus 7.,1
2017-05-26 14:34:45,Love this,5
2013-04-19 18:20:54,Good game,5
2013-08-31 23:37:02,awsom,5
2019-11-30 16:26:29,It is a very fun and cool game but just happened and happened again for some reason it eill take you out of the game thoughe no bigge game is still awesome,5
2018-12-06 20:11:07,I liked it,4
2016-05-19 05:05:04,I started it a day ago and I couldn't stop playing it.,5
2013-12-29 07:51:47,I think its pretty cool and its fun,4
2013-12-06 18:53:06,A game of endless fun...,5
2014-10-17 10:45:11,Love,5
2014-02-18 02:49:55,bro,4
2015-08-12 12:38:09,Tanga mo,5
2020-09-13 01:50:39,This game is awesome and I am addicted,5
2013-09-26 04:38:10,Harlieekatt,4
2013-12-22 11:00:23,Cool!,5
2015-08-23 18:17:07,But please all my purchases should not be expired like last time whn downloaded.,3
2012-10-22 09:04:22,Hapy,5
2015-05-14 00:44:08,I love this game but the thing is it's a large app on my iPad so pleas make it a small app :-),5
2018-06-11 05:38:08,This game is okay,3
2020-10-15 16:47:34,Nice,5
2014-10-07 22:12:48,Wish they would add more stuff to the game its not atracttive enough that's why I gave this game a 4 star.,4
2017-06-08 10:47:42,Love it,5
2016-12-05 23:56:48,The game gets addictive the deeper you go,5
2018-07-16 22:45:56,good,5
2020-12-05 16:15:45,Amasimg game i remember playing this game 4 to 3 years ago and still how old this game is it gets so much support after so long. The game has great grafixes and quality but i wish you could do S.A.M. offline. But any Con's in this game i dont care about this game will be forever loved with the continues updates. Your welcome for the feedback halfbrick.,5
2015-10-16 05:13:09,This game always finds a way to get better and better isn't there anything these guys can't do 🌟🌟🌟🌟🌟,5
2019-10-31 21:09:56,Nice,5
2016-08-27 15:59:05,So cool best game ever,5
2015-10-11 15:07:45,Nice game I want play it thousand time,5
2013-11-08 01:08:56,What a cool game,5
2014-08-07 22:32:47,Real good game must download as soon as possible,5
2018-05-08 00:11:05,Just brilliant,5
2012-10-09 06:13:45,Awesome game!,5
2013-02-19 17:51:31,This game is my personal fav now,5
2017-12-02 02:01:58,I think this is great i llove the fact that there are very little adds.I love how they have the little extras,5
2014-07-02 08:53:08,This game is good,5
2013-08-04 07:44:26,I love this game it is my favorite,5
2017-03-28 15:44:56,Can you make the MB 10.20,5
2014-01-04 00:52:53,Its a really awesome game to play but eventually it gets boring and I delete it cause it a little simple,4
2020-01-27 06:21:23,🤭🤭,5
2017-06-04 12:05:39,Good game,5
2017-07-04 03:42:05,It is a very good game me and my feiends take trins of the game,5
2021-04-02 06:22:38,I Petty you,5
2014-06-03 01:43:25,Lv it,5
2014-01-23 12:11:29,Love it,5
2013-01-22 08:49:44,"This game is awesome, I got all the jetpacks and yes, its really addictive",5
2016-06-20 07:18:29,Omg!!?,1
2015-09-11 05:02:32,SUPER COOL AND FUN,5
2014-12-23 15:24:18,wohooo,5
2016-09-12 11:45:12,"I enjoy playing this,lots of surprises and never ending challenges awaits",5
2013-04-20 22:43:05,coolest game ever!,5
2014-11-26 09:58:30,Great game,5
2014-09-20 03:12:50,Wow,5
2014-07-14 06:06:06,This game is like great! I play it on my brothers tablet but now downloading it on mine! Love it its hell awesome!,5
2016-09-25 06:05:48,Cccccccçc,1
2012-10-12 11:20:52,My favorite game,5
2018-06-03 17:45:17,Coolest jetpack game on mobile,4
2014-05-31 21:36:52,Its the best,5
2013-10-26 03:00:39,it won't let me download it,1
2017-01-29 12:36:26,I love it,5
2014-10-07 18:23:40,This game is the best,5
2017-03-19 20:53:16,"One thing... some of the things don't work especially the coin ones so please fix  But apart from that it's a good game like the graphics are good and the controls  I like playing it, if the creator fixes it then I'll like it even more! BOOM!",3
2016-05-18 14:01:57,It's addictive can't stop playing it,5
2013-07-09 21:05:06,Good game.  It passes time.,4
2021-01-22 01:10:39,It is very nice game.,5
2014-06-23 03:29:11,Sooooo fun,5
2020-01-30 13:53:41,Very fun game,4
2019-01-03 07:14:58,I'M GONNA SAY THE N WORD,5
2016-09-09 23:09:49,NiCe GaMe i InstallED  it BUT It TaKEs sO MuCh MB,5
2017-12-29 09:15:14,Blah,4
2015-07-17 11:46:11,Alisah  Uckbur,1
2017-02-20 14:58:41,"aku suka, kalo mb nya kecil",3
2013-12-12 07:13:11,When I had it before they updated it I thought it was a great game and now when i play i think its a excellent game just try to make better vehicles.    Thanks,5
2019-06-11 10:51:37,"This game has turned absolutely horrible. This game used to be a fun time everytime you opened and played it. Now you get an insanely bloated game the game barely manages to run at a steady 60 FPS anymore because of how many ads it's attempting to load. I mean back then getting the 3rd gadget slot required a level, but now $4.99? That's not good. This game now gives you ads DURING GAMEPLAY. Imagine playing a game that shoves half a million ads down YOUR throat!",1
2014-03-09 01:20:21,love this game so kwl!!!!!,5
2013-07-12 23:18:25,duck all of you in going to play this game all night,5
2013-01-13 05:29:56,Just awesome,5
2015-08-26 11:02:56,This is Amazing,5
2015-12-19 20:16:21,Because it isn't my kind of thing and why would you time it and why do you need so many coins to get new things and you barely see any coins so that's why I dislike this game,2
2017-09-02 06:13:35,I love this game,5
2018-11-06 00:21:10,Awesome I've loved this game for years,5
2013-11-22 19:47:01,Jetpack Joyride #fantabulous,5
2015-08-18 21:48:13,Could have more items/,4
2014-05-07 10:10:30,Good app,5
2016-01-23 05:40:01,Ehd,4
2012-10-27 00:53:34,Its an interesting game and i think that it should be in the list of top three andriod games.The game is very enjoyable to play and it can be played in any mood.The logic of completing the missions and acquiring the levels in the simple mode of game is exellent but only 15 original levels to be played and then the missions are repeated can made any player to feel boring.The gadgets and the other unlockables and the vehicles are awesome but again the levels made it to be slightly less than an exellent game.,4
2023-07-22 14:28:38,Very nostalgic game,5
2012-10-03 00:24:27,en az fruit ninja kadar başarılı androide biraz geç kalmış olsada,5
2015-11-27 06:50:38,It was a great game until it started backing out of the game when it was losing plz fix this,5
2014-07-24 12:28:09,"Funner on ps3, & too many permissions.  Uninstalling",1
2012-10-04 20:52:47,Awsome game 5 stars !,5
2018-04-10 01:46:46,Amazing game played it since I was 4,5
2018-01-18 04:57:15,I like how you make the game it is so fun I mean my little brother he loved it oh my gosh I would if I had one trillion dollars I would donate it to you but I really don't,5
2016-12-11 21:53:25,😄😂,5
2017-06-18 14:06:07,Good game for kids,5
2019-03-29 21:16:34,Its very fun,4
2019-08-22 14:33:58,Great,5
2022-10-31 08:54:49,I just love the game because it's strategy and stuff so I love this game and I give it a five,5
2014-04-07 11:38:15,Won't let me download it,3
2016-09-10 17:13:15,JETPACK JOYRIDE  : THIS IS A GREAT GAME AND THE GAME IS FUNNY AND PERFECT.........,5
2013-08-31 05:43:31,Very adventuree,4
2014-04-29 20:37:27,Lol,3
2017-04-22 22:05:49,Super game,5
2019-06-11 08:11:44,it is so fun install it,5
2014-04-25 20:32:56,Bich,5
2019-10-12 17:52:06,Good game,4
2020-08-16 15:57:42,"This game was amazing, always played in on my parents phone when i was like 8😂😂",5
2017-01-17 07:27:16,I love it.,5
2014-04-02 06:17:02,I love it,5
2020-01-30 08:48:06,This game is one of the most coolest games ever they have skin super wepons cuper cool jetpacks and faces👍👍,5
2017-08-11 11:30:42,Et,5
2017-06-05 02:52:09,Good,5
2017-06-27 20:16:45,Nice. The flying thing changes. I have to give this game double g,4
2014-12-06 16:03:49,I like this game cuz everything is new in the updated. I just dont like the amount of the items. Its just sooooooo sooooooooo big. That is im having a hard time collecting coins.,5
2014-04-10 17:10:06,I have always loved this game,5
2017-02-08 04:30:12,Osm,5
2014-10-25 03:13:57,Lllolololol,5
2015-10-13 03:07:05,Look,5
2017-11-04 10:24:15,Mazing,5
2023-02-22 03:46:59,Played it as a kid🔥🔥🔥🔥🔥🔥,5
2016-08-28 17:00:27,Guuuu game,5
2016-12-30 13:33:49,Enjoyable,5
2021-01-14 06:00:10,Lerete le la game! I have to download it like 3times!,1
2016-04-08 21:25:10,It makes me happy,5
2016-05-08 16:22:22,This game is really good all you people should buy it,4
2017-02-27 00:57:04,It always turns my phone of I would love to give it 4 stars but I can't because there is a problem please fix it,2
2015-04-05 11:23:03,Fadlin,5
2019-10-02 05:57:08,It good,5
2014-03-01 08:02:44,,5
2016-06-25 10:56:28,Fun time waster,5
2016-10-25 07:58:34,Loved.     I5,5
2017-12-19 03:03:46,Amazed,5
2015-06-03 02:16:40,I love it such a good game,5
2017-02-18 13:49:00,Nice,4
2017-07-28 19:23:46,بلی,5
2017-04-19 21:11:06,Love it,5
2015-07-11 09:59:39,It is such mindblowing app,4
2016-06-28 12:46:49,Happy,5
2014-04-25 13:29:38,I like the game very fun. Found my self stuck playing this game a lot.,5
2020-01-10 07:18:07,Its so laggy and why do you have to buy the third slot for the gadgets? It was free last time i checked.. the game is no longer interested because of the slowness.,1
2016-08-10 23:37:22,"When I spun the token and got double coins next game an ad came up and froze my game.When I reloaded my game I didn't have my coin doubler because of the stupid POP UP ADS,PLEASE  FIX.",2
2018-03-03 09:03:52,Beautiful games,5
2015-05-12 19:14:00,Addicting,5
2016-12-22 21:06:16,Superb game,5
2014-03-24 23:22:15,"What the heck? My phone can run practically any other app, but with this one, its without a doubt, unplayable b/c its so freaking laggy. Update fix?",1
2013-12-10 03:48:40,Really fun to play during downtime at work. Would love to see gadgets specifically for flash though. Give him the ability high five scientists or something,4
2013-08-23 00:16:05,"We earn way to little coins playing, other than that, game is boss",4
2021-03-16 05:38:54,"Great game, good gameplay, fun design, just great.",5
2013-07-23 21:04:13,Joyful,5
2016-04-23 08:59:01,I love with it so much,5
2014-05-09 21:18:12,"I have an Xperia z1 and the game freezes all the time. Short 1 second freezes, non stop and makes it impossible to play. Please fix this glitch",2
2022-08-26 23:39:22,Just Marvellous,5
2014-12-21 14:20:02,The bestttttt graphics is also nice,5
2017-03-06 04:28:51,Its a great and easy awesome game and I just love it😀👏👍👍,5
2014-07-19 23:10:28,awesome,5
2014-08-07 23:07:47,I have had it with you suckers,1
2015-03-17 11:51:50,yejc,5
2017-12-11 06:20:21,Good game makes your mind think on where you need to go and what you need to do and easy controls good graphics and amazing gameplay i realy like this game one of the best mobile app games ever and great power-ups.,5
2013-11-24 02:29:22,Best better than EA game,5
2014-04-01 04:02:03,Needs an update badly should make items in game cheaper,5
2014-02-15 22:43:57,,5
2014-05-15 10:24:12,So fun I can't believe how much fun it is,5
2012-11-02 20:00:05,Too good gam,5
2017-09-06 21:37:28,Bad,1
2015-01-14 07:55:54,I love it  I love it,5
2015-07-16 14:07:42,I love this game,5
2015-10-09 09:10:32,Simple but not make me boring,4
2014-07-16 21:10:12,i havent playd this game but iam thinking its a good game,2
2013-03-10 06:24:38,Awesomeeeeeeeeeeeeeee,5
2016-01-09 06:05:11,I love this game,5
2013-10-26 23:36:19,Ploop,5
2014-10-15 06:31:05,Loved it,5
2015-10-26 19:41:44,CANNOT PLAY SHAT THA FTAK,2
2016-02-09 14:36:26,I love this game and the mpc r so cute,5
2014-06-14 07:49:32,Epic game loved it,2
2015-05-30 23:03:37,I like very this games,5
2017-03-26 09:29:22,This game is so awsome,5
2017-03-18 05:25:14,Fantastic,5
2017-03-07 07:28:37,It was booty,1
2012-11-18 17:08:11,Why can't a samsung galaxy mini drive this game??? But i played it before and i was awsome.,2
2017-02-07 16:47:29,So intriting,5
2016-09-29 01:51:18,Well it's alright but in Sam can u not put rockets plz,3
2016-04-25 21:55:39,Just fantastic!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
2019-09-26 04:12:18,It is a definite time killer I love this game,5
2016-05-07 20:42:47,I love this game so much I could play it for the rest of my life,5
2016-05-12 22:31:01,They should add more vehicles,3
2021-12-25 03:54:43,This game has awful controls beyond belief,1
2021-08-18 02:45:57,Very good,5
2018-06-18 05:59:55,F you,5
2023-03-02 21:32:42,Favourite just changed some things like background,5
2014-02-03 07:30:39,Funk,5
2020-09-04 08:27:38,Nice Game,3
2017-05-09 08:27:38,I like it but I love it at the same time,5
2015-05-19 18:49:15,It is the worst,1
2017-07-15 12:00:17,Love it,5
2013-08-25 00:37:23,One of the best game from halfbrick.....liked it,5
2014-01-25 16:13:02,Until it it started glitching. It kept on flying by itself!!,3
2020-03-26 07:52:26,How call I hack it,5
2014-10-15 07:14:38,"I love this game, but the new update won't let me play anymore. It just keeps crashing. Please fix.",5
2022-05-06 20:43:57,Great game,5
2015-06-08 21:44:17,excellent,5
2018-04-15 20:35:52,I like roket,5
2016-08-17 10:19:05,Not boring,5
2017-06-20 22:42:51,Its ok,5
2017-08-11 20:25:04,nice,5
2020-10-29 19:59:15,G😊😄d game.,5
2017-06-06 17:54:11,I am playing this game from 2 years but I didn't got bored any time. Thus game is so cool.😊😊,5
2017-03-22 09:31:53,Good game.,5
2015-08-08 15:27:25,Badboys,5
2016-07-01 03:43:10,This game is FUN,5
2017-03-08 07:41:58,Love it,5
2019-01-17 08:50:45,it's great,5
2013-07-30 07:58:14,I like it just that the items should cost less,4
2018-01-26 22:04:37,The game is fun good at speeding up time.,5
2013-10-08 11:54:20,Super duper Nice !!!iloveit,4
2017-08-16 08:47:41,This app is awesome great rime killer,4
2020-06-23 23:03:28,This game is awesome,5
2021-11-27 11:36:56,"Fun game but two problem, the loading screen kinda loads very slow and also when I get the Terror Dog, it freezes the game and then crashes.",3
2019-06-22 11:22:27,TO MANY ADS NOW.... What happened to no ads?,1
2014-07-02 10:17:59,Cool game It is the best game I have ever played,5
2018-04-07 13:41:35,I love it,5
2016-07-21 09:38:59,Awesome update yaar,4
2017-08-17 23:34:33,I love the complete game it has a great no wi-fi game,5
2015-01-05 06:16:08,Awesome this game is the best game I ever played,5
2017-11-02 08:04:22,Ive loved this game for a very long time and even had it on my ps3 at one point. I have one problem. I cant equip a new jetpack. I can push the equip button all i want but nothing changes. Please fix this bug. Getting new jetpacks keeps the game interesting.,5
2022-03-17 13:53:55,It keeps telling me to download the newest version when i have updated it to the newest one the st patrick.,4
2015-01-30 19:30:07,Geam,5
2022-03-13 21:22:38,classic.,5
2013-09-14 11:34:46,Good,5
2018-04-15 02:51:16,Addicting... Its so satisfying getting a new high score or jet pack,5
2022-03-09 02:53:09,I love this game,5
2013-07-15 22:31:04,I waited 4 days and I can't receive my wave rider. Please fix this.,3
2012-10-02 15:56:21,Groove it I've been waiting this gane a long time!,5
2013-05-10 19:27:22,This game is awesome. I even have it for my PlayStation 3,5
2013-01-24 08:45:58,This game is crispy,5
2013-12-11 07:19:40,I guess,3
2014-07-08 07:51:35,Fun game,5
2016-12-02 18:27:56,Love it,5
2015-07-10 03:33:33,Sweet,5
2013-07-09 18:34:13,Very fun game :-),5
2017-10-10 07:03:38,It is LAALSEN,5
2015-11-24 05:39:54,Bring turtles in the game,5
2018-06-26 03:32:37,Sweet,5
2020-01-28 09:59:23,It's amesom,5
2017-04-16 04:29:09,I dont know,5
2017-04-08 21:21:40,The game does not work on my device karbonn smart tab 2. Please update it guys plzz,5
2013-03-02 23:38:14,It very addictive pls add more maps,5
2017-01-26 19:27:07,Cool,5
2022-04-10 22:43:41,One of the best games ever,5
